platform,content_id,aid,crawl_mode,user_name,user_id,comment_text,like_count,reply_count,comment_time,rpid
bilibili,BV1TpjQ6TEQz,116802608695925,hot,青色Am,2019398514,白鹿真的是超出我的理解了，很多明星被人讨厌是因为德不配位，但总还有一两项长处，没有特长至少有长相。白鹿不一样，长相一般、智商情商也不高、也没有演技、也不是什么自带背景的二代，反而非常的嚣张，到底为什么要捧这种人，实在是无法理解[藏狐],428,12,2026-06-24 10:56:48,306795738272
bilibili,BV1TpjQ6TEQz,116802608695925,hot,L柠檬树下的阳光,253726095,怪不得喜欢和年轻男子玩呢，原来是老人味闻多了,202,0,2026-06-24 10:53:41,303682781121
bilibili,BV1TpjQ6TEQz,116802608695925,hot,山茶和花,317472786,生理不适的度过了如此难熬的19分钟,250,0,2026-06-24 10:28:07,303680854929
bilibili,BV1TpjQ6TEQz,116802608695925,hot,克里斯蒂安沈,324957456,看到他说出xmg这三个字我就感觉这人脏的很,144,13,2026-06-24 10:30:00,306793583136
bilibili,BV1TpjQ6TEQz,116802608695925,hot,南枫似夏草i,479820301,这舌苔，嘴得老臭了[吃瓜],30,1,2026-06-24 15:49:26,306821432176
bilibili,BV1TpjQ6TEQz,116802608695925,hot,苏苏考甜蜜的研,599208156,没有吃过一点苦全走捷径 非男非女在中国大陆无法选中之人,83,0,2026-06-24 12:49:59,303693604033
bilibili,BV1TpjQ6TEQz,116802608695925,hot,地球没有氧气,327139365,娱乐圈有那么多神人，于正有很大的责任，所以什么时候能把于正封杀了,31,0,2026-06-24 17:06:26,303714151377
bilibili,BV1TpjQ6TEQz,116802608695925,hot,骂你猪比还要扇你猪脸,3537119913970303,于正每天照完镜子看谁都是惊为天人,996,10,2026-06-24 10:13:35,306792339568
bilibili,BV1TpjQ6TEQz,116802608695925,hot,我桃永恒,84800483,越来越讨厌了，路转黑，这人太装了。关键你有啥资本装啊？资本硬推给你的资源，你就这种产出。我对刘亦菲也没啥好感，但是人家好几部作品摆在那里，没得说。,78,0,2026-06-24 10:39:55,303681661025
bilibili,BV1TpjQ6TEQz,116802608695925,hot,云莅,4127525,当时B站一堆周生如故的剪辑，我第一反应就是好丑，不知道怎么火起来的[怪我咯],75,0,2026-06-24 11:09:37,306796760224
bilibili,BV1TpjQ6TEQz,116802608695925,hot,万叶橘,346122,我说话难听，别举我，开幕雷击真的还是需要个火盆，鬼片少放，求求了，比真鬼还吓人[捂脸],70,1,2026-06-24 10:26:49,306793183360
bilibili,BV1TpjQ6TEQz,116802608695925,hot,椰奶小方li,1849780675,此人火的莫名其妙 粉丝也是奇葩,48,0,2026-06-24 10:47:54,303682402817
bilibili,BV1TpjQ6TEQz,116802608695925,hot,慕课夫,3493078016985331,白男士可以现在出崩老头教程,11,0,2026-06-24 16:44:28,306825893536
bilibili,BV1TpjQ6TEQz,116802608695925,hot,雪糕的jio凑凑的,17959095,大家都经过十几岁的年纪吧，白鹿属于就是班里那种立假小子人设的女生，要跟男生处成哥们儿，动作贼浮夸恨不得所有人目光都在她身上，说话没礼貌没情商还觉得自己很有个性，简称显眼包。,777,18,2026-06-24 15:59:02,306822154576
bilibili,BV1TpjQ6TEQz,116802608695925,hot,鼠来宝006,8578690,要不中国电影电视剧越来越差，原来都是于正这样的人！他是不是没吃过好的！,26,0,2026-06-24 11:36:21,303686221249
bilibili,BV1TpjQ6TEQz,116802608695925,hot,老肌无力了,335963820,她这种的 在学校搞小团体 当大姐头 霸凌别人最狠了[doge_金箍],608,12,2026-06-24 10:17:57,306792605552
bilibili,BV1TpjQ6TEQz,116802608695925,hot,咸鱼本鱼不行吗,449602169,我真的是……从凤求凰开始就等着她糊……真的很烂……人品烂，演技烂,40,0,2026-06-24 13:32:51,303697609057
bilibili,BV1TpjQ6TEQz,116802608695925,hot,夜的第36,1295120224,江苏文投董事长真是力工皇帝，这个级别了不能吃点好的吗，白鹿整容之前那个样都能吃的下，真是好胃口,9,0,2026-06-24 17:41:33,306831188368
bilibili,BV1TpjQ6TEQz,116802608695925,hot,阿C要发疯,8948091,她这次塌的导火索细看其实不至于，只不过是大家对她积怨已久了吧。。。大家苦资本喂屎久矣,1008,11,2026-06-24 11:37:01,303686309937
bilibili,BV1TpjQ6TEQz,116802608695925,hot,那么多nian,142735958,不要忘记她在南京拍和服！玉楼春韩国！这种价值观的人还能在荧幕蹦跶  是在宣传不爱国嘛,66,1,2026-06-24 10:28:14,303680779153
bilibili,BV1TpjQ6TEQz,116802608695925,hot,快乐小人儿臭屁仔,355093539,她是那种在老男人堆里撒娇觉得自己最被宠的人，是那种认为用没大没小来表现亲昵的人，且是那种通过贬低他人看他人难看或笑话来制造所谓综艺效果的人。一直以来她都是这么过来的，她不会怀疑自己有什么问题的。,921,2,2026-06-24 10:23:43,306793091472
bilibili,BV1TpjQ6TEQz,116802608695925,hot,重量级干饭职业选手,11241829,崩老头真被她崩到个当官的，内娱高小琴[喜极而泣],699,21,2026-06-24 10:23:04,306793071232
bilibili,BV1TpjQ6TEQz,116802608695925,hot,贫僧不好百合_救火版,3493284181707408,随橙想，反耳给早期赵露思衬托的有三分呆萌,887,27,2026-06-24 11:03:40,306796300896
bilibili,BV1TpjQ6TEQz,116802608695925,hot,桑榆向晴,604583537,精神小妹崩老头👴🏻最佳典范(究极版)[doge],88,4,2026-06-24 19:01:05,306839496336
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小龙虾56,402208943,有老头撑腰真的好顺,143,5,2026-06-24 18:52:21,306838584928
bilibili,BV1TpjQ6TEQz,116802608695925,hot,rena光明秀,66757715,对她的感觉就是演技差人也没素质，感觉会是那种在学校里抱团80别人的太妹,9,1,2026-06-24 16:49:35,306826427328
bilibili,BV1TpjQ6TEQz,116802608695925,hot,我始于深渊,21222419,能爆出来就说明后台已经不稳了，不然最近的风波咱们都不会看到的,74,1,2026-06-24 15:58:02,306822131936
bilibili,BV1TpjQ6TEQz,116802608695925,hot,猫猫有不在场证明,2619580,她和成毅都属于是有人捧的那种,700,22,2026-06-24 10:13:25,303679848865
bilibili,BV1TpjQ6TEQz,116802608695925,hot,木林曦ing,3537107295406352,太可怕了，事实证明告诉我们，想捧红一个人很简单，并且你还找不到幕后玩家,144,3,2026-06-24 15:32:20,303706470449
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小秦在好好吃饭,1304176042,"上过初中高中的都知道
这种所谓大大咧咧性格的女孩子
在学校里就特别受那种老登男教师的欢迎
极其容易向上社交",101,10,2026-06-24 15:07:59,306818323344
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小V他偏头疼,251979252,别的我不关心，只是这种没有业务能力和文化底蕴的人拿到这么多资源，会让我对这个国家的娱乐业感到深深的失望和悲悯,87,6,2026-06-24 14:28:54,303701908145
bilibili,BV1TpjQ6TEQz,116802608695925,hot,SOX下流梗社长,10947259,本来以为她是故意搞这种大大咧咧人设的样子，差不多就搞搞行了，看完视频发现，她可能就是女嘉豪。。,923,18,2026-06-24 10:18:09,303680127233
bilibili,BV1TpjQ6TEQz,116802608695925,hot,OoOoOcTaviaa,4028076,文章当年也说自己顺极了[doge],221,3,2026-06-24 13:25:13,303696916689
bilibili,BV1TpjQ6TEQz,116802608695925,hot,厌猫猫让我嘬嘬,382275785,…真的她突然成顶流了,227,3,2026-06-24 10:14:21,303679872049
bilibili,BV1TpjQ6TEQz,116802608695925,hot,告诉俺娘俺不是孬中,524735650,终于讲白鹿了，还以为圆子不敢呢,266,6,2026-06-24 14:52:56,303703597473
bilibili,BV1TpjQ6TEQz,116802608695925,hot,雏菡,449176168,认真说确实是我不喜欢的性格，感觉像女版王鹤棣,356,13,2026-06-24 17:48:10,303718186897
bilibili,BV1TpjQ6TEQz,116802608695925,hot,mimimimimaimimo,19086566,她的资源真的太太好了，感觉有人强捧,887,15,2026-06-24 10:52:39,303682612289
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大悲欢喜,177990697,还是b站看的舒服讨厌的人只有b站敢骂,735,13,2026-06-24 13:29:01,303697219393
bilibili,BV1TpjQ6TEQz,116802608695925,hot,林森森o,94414406,白男太强大的后台了，两个月资源一点没受影响[吃瓜],25,0,2026-06-24 10:49:12,306795209824
bilibili,BV1TpjQ6TEQz,116802608695925,hot,对呀何必呢就这样吧,14297059,为什么她说话总是撅着嘴？这种嘴型，我通常只在韩剧里见过,1218,11,2026-06-24 12:48:49,303693524689
bilibili,BV1TpjQ6TEQz,116802608695925,hot,bili_16955756383,1159504862,难怪他粉丝叫鹿茸,379,2,2026-06-24 12:20:35,303690447393
bilibili,BV1TpjQ6TEQz,116802608695925,hot,正左没,489993254,她说自己粉丝是小🪵🐶怎么没盘点进去，包括粉丝主动包揽🪵🐶一词,4,0,2026-06-24 19:00:44,303725692561
bilibili,BV1TpjQ6TEQz,116802608695925,hot,OwO嘎嘎,27106963,真想国家规定实名制追星，我现生中遇到了她粉丝还能躲一躲，我这人又怕脏又怕鬼的,348,11,2026-06-24 14:47:10,303703241921
bilibili,BV1TpjQ6TEQz,116802608695925,hot,冰霜高洁,1676607054,《俺娘田小草》都市版又名《以爱为营》,1913,11,2026-06-24 13:54:37,303699313585
bilibili,BV1TpjQ6TEQz,116802608695925,hot,四维绝望团子,625682559,她这种性格在男人堆里确实吃香，参考现实中的“汉子茶”,133,11,2026-06-24 15:06:43,303704558881
bilibili,BV1TpjQ6TEQz,116802608695925,hot,温言zzz,497531454,好奇什么时候会被下架，太勇了,2935,24,2026-06-24 10:09:06,303679501249
bilibili,BV1TpjQ6TEQz,116802608695925,hot,仙都南宁周阴婷,26598499,圆子明天看手机：,405,2,2026-06-24 16:54:08,303713156385
bilibili,BV1TpjQ6TEQz,116802608695925,hot,路人主角路过,87125554,精神小妹最爱崩老头[doge],308,3,2026-06-24 10:27:47,303680846881
bilibili,BV1TpjQ6TEQz,116802608695925,hot,冰冥_,297964928,一直觉得“四普”这个东西就是给杨紫降咖，给白鹿升咖用的。因为我想不出一个白鹿的代表作[笑哭],189,9,2026-06-24 11:05:49,303683595841
bilibili,BV1TpjQ6TEQz,116802608695925,hot,是我momo,521671854,彤这一抱臂，大女主那味儿有了。,1525,14,2026-06-24 11:16:44,303684609585
bilibili,BV1TpjQ6TEQz,116802608695925,hot,雪天毛毛毛毛毛,645257075,隔壁刷到的，笑死我了,4120,54,2026-06-24 10:37:47,303681504577
bilibili,BV1TpjQ6TEQz,116802608695925,hot,今年也要去看海,320125886,她到底搭上谁了这么多资源捧她。。。。？[呆],142,5,2026-06-24 14:51:41,303703434353
bilibili,BV1TpjQ6TEQz,116802608695925,hot,骐栖,1133532487,所以……她拿了奖后说的轻舟已过万重山过的到底是什么山[妙啊],138,2,2026-06-24 10:30:55,306793766208
bilibili,BV1TpjQ6TEQz,116802608695925,hot,冰块块块砸,23128999,评论区也没有必要这么多人洗吧 就算她人品没问题这演技放在内娱也是在侮辱观众啊 还能爱下去是粉丝还是路人真不好说[笑哭][笑哭],253,25,2026-06-24 14:02:50,303699893745
bilibili,BV1TpjQ6TEQz,116802608695925,hot,芭拉拉又重了,300374838,于正是什么行业很好的标杆吗？他选出来的人出问题不是很正常吗？争议性都很大的之前。好多他捧出来都是黑红。,419,7,2026-06-24 10:18:44,306792627856
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大乔617,11352073,《以爱为营》应该改名叫《嘉豪嘉欣爱情故事》[大笑],1967,25,2026-06-24 10:20:37,303680424529
bilibili,BV1TpjQ6TEQz,116802608695925,hot,Mochiivi,277287890,还有小母g课件漏了，大家可以自己去补补,4,0,2026-06-24 18:53:26,303724823377
bilibili,BV1TpjQ6TEQz,116802608695925,hot,一念的墨痕,351647504,准备接受来自美神的照耀吧[笑哭][笑哭][笑哭],381,7,2026-06-24 17:22:55,306829422800
bilibili,BV1TpjQ6TEQz,116802608695925,hot,辛雍,424238640,不是，这位还穿过和服宣传吗？这么有料,4,1,2026-06-24 17:31:23,306830223728
bilibili,BV1TpjQ6TEQz,116802608695925,hot,J_0311,173846809,我真不行了，她的受众群体是异食癖吗,13,0,2026-06-24 14:40:04,306816261968
bilibili,BV1TpjQ6TEQz,116802608695925,hot,卖卡师姐,3493276753594525,这资源没人捧是不可能的。。。北电中戏那么多长得好演得好的人不火，偏偏她火了，而且演技也不出众，还能是为什么呢,100,1,2026-06-24 13:15:13,306809256272
bilibili,BV1TpjQ6TEQz,116802608695925,hot,雪羊羊爱鸭鸭,11293260,景甜好歹长得漂亮还不作妖[喜极而泣],64,1,2026-06-24 18:14:10,303720714833
bilibili,BV1TpjQ6TEQz,116802608695925,hot,要不买瓶汽水吧,7305274,这个于正到底是什么背景，为什么能给内娱输送那么多。。。[捂脸],627,28,2026-06-24 10:20:17,303680259937
bilibili,BV1TpjQ6TEQz,116802608695925,hot,bluelotus-,581802821,感觉她像上学时候喜欢和男生一起玩然后总是时不时打一下男生 但不管女生还是男生其实都不喜欢她的那种人[笑哭],446,12,2026-06-24 10:10:07,306792117216
bilibili,BV1TpjQ6TEQz,116802608695925,hot,羽鹏1,177977750,有干爹就是好呀,6,0,2026-06-24 10:41:16,303681832529
bilibili,BV1TpjQ6TEQz,116802608695925,hot,BlueRose180119,1339128098,接白鹿事业运啊，没能力没学历那么多贵人帮她，还是挺羡慕的[辣眼睛],63,3,2026-06-24 18:57:10,303725242593
bilibili,BV1TpjQ6TEQz,116802608695925,hot,优酱lovelovelove,211702352,老头吃得太差了,126,4,2026-06-24 10:55:59,303682856257
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大哒哒哒大白,1576686135,她的路被铺的不能再平了，哪个男明星火了，下一部戏的女主就是她,260,0,2026-06-24 10:20:16,306792832208
bilibili,BV1TpjQ6TEQz,116802608695925,hot,昭昭子规啼,23735393,她是怎么做到什么场合都不得体的,29,1,2026-06-24 18:39:57,303723378913
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小森楼,270750197,内娱审美急速下降，看看十年二十年前的女主是啥样,81,5,2026-06-24 16:44:23,303712400305
